target,source,value
Anguilla,Other Countries,"10,497"
Anguilla,USA,"63,236"
Anguilla,Canada,"4,113"
Anguilla,Caribbean,"13,452"
Anguilla,UK,"4,077"
Antigua And Barbuda,Other Countries,"28,908"
Antigua And Barbuda,USA,"123,553"
Antigua And Barbuda,Canada,"37,225"
Antigua And Barbuda,Caribbean,"34,468"
Antigua And Barbuda,UK,"76,836"
The Commonwealth Of Dominica,Other Countries,"14,744"
The Commonwealth Of Dominica,USA,"12,477"
The Commonwealth Of Dominica,Canada,"2,279"
The Commonwealth Of Dominica,Caribbean,"54,615"
The Commonwealth Of Dominica,UK,"5,149"
Grenada,Other Countries,"35,893"
Grenada,USA,"62,232"
Grenada,Canada,"14,539"
Grenada,Caribbean,"27,718"
Grenada,UK,"22,520"
Montserrat,Other Countries,389
Montserrat,USA,"2,641"
Montserrat,Canada,542
Montserrat,Caribbean,"4,005"
Montserrat,UK,"2,825"
St. Kitts And Nevis,Other Countries,"6,779"
St. Kitts And Nevis,USA,"80,509"
St. Kitts And Nevis,Canada,"7,693"
St. Kitts And Nevis,Caribbean,"26,819"
St. Kitts And Nevis,UK,"9,389"
Saint Lucia,Other Countries,"26,645"
Saint Lucia,USA,"191,719"
Saint Lucia,Canada,"40,872"
Saint Lucia,Caribbean,"83,493"
Saint Lucia,UK,"81,007"
St. Vincent And The Grenadines,Other Countries,"8,116"
St. Vincent And The Grenadines,USA,"29,650"
St. Vincent And The Grenadines,Canada,"10,471"
St. Vincent And The Grenadines,Caribbean,"24,022"
St. Vincent And The Grenadines,UK,"13,037"
ECCU,Other Countries,"131,971"
ECCU,USA,"566,017"
ECCU,Canada,"117,734"
ECCU,Caribbean,"268,592"
ECCU,UK,"214,840"
